id,sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,weight,crunch factor,aesthetic appeal,chocolate,nuts,oats,raisins,peanut_butter,butter type_melted
993,0.36,2.4,490,38.0,123.0,0.996,8.6,0.46,10.3,7,15.2,1.88,3,1,0,1,0,0,1
994,0.37,6.2,520,13.0,164.0,0.99602,8.24,0.39,8.8,6,13.2,1.24,3,0,0,0,1,0,1
995,0.37,12.85,420,36.0,105.0,0.99581,8.05,0.55,10.7,8,14.0,1.38,3,1,0,1,0,0,1
996,0.45,13.0,470,33.0,182.0,0.9974,8.2,0.46,9.2,8,12.6,1.51,3,0,1,0,1,0,1
997,0.0,1.4,570,15.0,26.0,0.99448,8.36,0.45,9.5,5,12.0,1.18,3,0,1,0,1,0,0
998,0.49,7.6,520,67.0,226.0,0.9956,8.16,0.47,8.9,7,12.2,1.46,3,1,0,0,0,0,1
999,0.28,3.5,390,55.0,152.0,0.9907,8.44,0.44,12.0,8,11.8,1.45,3,1,1,1,0,0,1
1000,0.32,12.2,410,43.0,127.0,0.99524,8.23,0.53,10.4,9,11.4,1.73,3,1,0,0,0,0,1
1001,0.09,1.7,530,24.0,32.0,0.99402,8.54,0.6,11.3,5,12.4,1.3,3,0,1,0,1,0,0
1002,0.39,6.75,310,22.0,98.0,0.9913,8.15,0.8,12.9,9,13.2,1.09,3,1,0,0,0,0,1
1003,0.16,1.8,780,12.0,39.0,0.9977,8.5,0.7,9.9,6,14.8,1.61,3,1,1,1,0,0,0
1004,0.15,1.9,790,17.0,42.0,0.9972,8.31,0.54,9.6,6,16.6,1.35,3,1,1,1,0,0,0
1005,0.24,1.8,3600,15.0,63.0,0.9964,8.0,1.59,9.5,5,15.0,1.75,3,0,1,1,0,0,0
1006,0.34,1.6,430,24.0,129.0,0.99305,8.12,0.7,10.4,7,15.2,1.27,3,1,0,0,0,0,1
1007,0.02,1.8,670,4.0,11.0,0.997,8.46,0.68,9.5,5,12.8,1.18,3,0,1,0,1,0,0
1008,0.44,2.6,660,22.0,48.0,0.99494,8.3,0.84,11.5,6,14.4,1.16,3,0,0,0,1,0,0
1009,0.14,1.9,560,15.0,34.0,0.99396,8.48,0.57,11.5,6,12.4,1.5,3,0,1,0,1,0,0
1010,0.25,10.4,200,7.0,57.0,0.994,8.39,0.37,10.6,7,11.4,1.25,3,1,0,0,0,0,1
1011,0.33,0.9,410,20.0,117.0,0.99048,8.21,0.5,11.4,7,14.0,1.63,3,1,0,0,0,0,1
1012,0.48,2.1,930,6.0,12.0,0.99408,8.26,0.62,12.4,7,16.6,1.23,3,1,0,0,0,0,0
1013,0.31,2.7,840,24.0,125.0,0.9984,8.31,0.61,9.4,5,18.0,1.75,3,1,1,0,0,0,0
1014,0.27,8.6,680,24.0,148.0,0.9948,8.16,0.57,11.3,6,13.4,1.3,3,1,1,0,0,0,0
1015,0.08,2.6,890,14.0,27.0,0.99592,8.3,0.59,10.4,6,15.0,1.66,3,0,1,0,1,0,0
1016,0.33,3.5,370,37.0,155.0,0.98987,8.18,0.37,12.4,8,12.4,1.67,3,0,0,0,1,0,1
1017,0.49,8.1,370,26.0,174.0,0.9943,8.1,0.3,11.2,9,16.2,1.48,3,0,0,0,1,0,1
1018,0.36,17.2,390,37.0,130.0,0.99946,8.23,0.43,8.8,8,12.4,1.04,3,1,0,0,0,0,1
1019,0.5,2.6,490,17.0,155.0,0.9927,8.22,0.64,10.0,8,11.4,1.24,3,0,0,0,1,0,1
1020,0.34,2.2,730,16.0,25.0,0.9936,8.28,0.66,12.4,6,16.0,1.37,3,1,1,0,0,0,0
1021,0.45,1.2,330,11.0,59.0,0.9926,7.74,0.47,10.8,8,19.4,1.18,3,1,0,0,0,0,1
1022,0.09,2.9,790,7.0,22.0,0.99669,8.46,0.61,10.2,5,13.4,1.33,3,0,1,0,1,0,0
1023,0.27,5.0,580,27.0,151.0,0.99198,8.22,0.49,12.2,8,12.8,1.58,3,0,0,0,1,0,1
1024,0.25,2.8,360,43.0,132.0,0.98975,8.21,0.47,13.4,8,14.2,1.08,3,1,1,0,0,0,1
1025,0.34,1.5,380,18.0,96.0,0.98942,8.56,0.48,13.0,10,10.4,1.77,3,0,0,0,1,0,1
1026,0.32,2.2,360,15.0,70.0,0.9899,8.16,0.48,12.7,8,12.4,1.79,3,0,0,0,1,0,1
1027,0.32,11.1,360,25.0,119.0,0.9962,8.15,0.34,10.5,8,15.0,1.07,3,0,0,0,1,0,1
1028,0.39,1.2,380,21.0,115.0,0.994,8.16,0.67,10.0,8,15.2,1.31,3,1,0,0,0,0,1
1029,0.3,2.0,300,38.0,142.0,0.98892,8.41,0.41,12.9,9,11.8,1.23,3,0,0,0,1,0,1
1030,0.4,7.5,400,50.0,151.0,0.9927,8.11,0.27,11.4,8,13.8,1.78,3,1,0,0,0,0,1
1031,0.36,4.6,240,20.0,198.0,0.99222,8.06,0.66,11.9,8,15.6,1.54,3,0,0,0,1,0,1
1032,0.38,4.9,390,22.0,86.0,0.98963,8.23,0.58,13.1,9,11.6,1.41,3,0,0,0,1,0,1
1033,0.24,9.8,410,29.0,109.0,0.9956,8.29,0.47,10.1,8,12.8,1.87,3,0,0,0,1,0,1
1034,0.48,1.5,680,7.0,15.0,0.9973,8.22,0.64,10.1,6,22.2,1.52,3,1,0,1,0,0,0
1035,0.46,9.0,1140,3.0,9.0,0.99901,8.18,0.6,10.9,6,18.2,1.64,3,1,0,0,0,0,0
1036,0.64,2.2,930,9.0,42.0,0.9986,8.54,0.66,10.5,5,17.6,1.81,3,1,1,0,0,0,0
1037,0.12,1.6,360,57.0,163.0,0.99239,8.38,0.59,10.5,8,11.6,1.62,3,0,0,0,1,0,1
1038,0.48,3.1,900,5.0,21.0,0.9986,8.17,0.53,10.5,5,22.2,1.17,3,0,0,0,1,0,0
1039,0.58,5.0,390,36.0,114.0,0.9909,8.3,0.6,12.3,10,12.2,1.42,3,0,0,0,1,0,1
1040,0.26,3.1,530,57.0,128.0,0.98982,8.22,0.39,12.7,8,12.0,1.99,3,1,1,0,0,0,1
1041,0.03,2.3,750,14.0,31.0,0.99545,8.36,0.58,10.4,6,13.6,1.06,3,1,1,1,0,0,0
1042,0.27,11.2,610,46.0,149.0,0.99772,7.99,0.59,9.3,8,14.4,1.56,3,1,0,1,0,0,1
1043,0.32,7.9,290,34.0,124.0,0.9948,8.4,0.39,10.2,7,12.8,1.08,3,1,0,0,0,0,1
1044,0.09,1.7,530,24.0,32.0,0.99402,8.54,0.6,11.3,5,12.4,1.61,3,0,1,0,1,0,0
1045,0.22,9.8,490,50.0,125.0,0.99571,8.2,0.45,10.1,8,11.4,1.51,3,1,0,0,0,0,1
1046,0.31,11.7,510,24.0,94.0,0.997,8.19,0.44,9.5,9,15.0,1.73,3,1,0,1,0,0,1
1047,0.41,1.2,500,26.0,131.0,0.99133,8.19,0.52,11.1,7,15.0,1.01,3,1,0,0,0,0,1
1048,0.49,3.95,440,27.0,131.0,0.9912,8.08,0.67,12.8,9,15.2,1.21,3,0,0,0,1,0,1
1049,0.3,10.6,330,24.0,87.0,0.99265,8.15,0.45,12.8,8,13.8,1.2,3,1,1,0,0,0,1
1050,0.49,3.4,930,54.0,80.0,1.0002,8.3,0.76,10.7,7,23.6,1.24,3,0,0,0,1,0,0
1051,0.42,1.1,420,51.0,132.0,0.99059,8.18,0.74,11.3,9,13.6,1.7,3,1,0,1,0,0,1
1052,0.03,1.7,700,10.0,35.0,0.99575,8.34,0.57,10.0,5,16.0,1.35,3,0,1,0,1,0,0
1053,0.31,2.0,790,10.0,79.0,0.99677,8.29,0.69,9.5,6,15.8,1.95,3,0,1,0,1,0,0
1054,0.26,7.2,480,52.0,207.0,0.99587,8.12,0.37,9.2,7,14.6,1.75,3,1,0,0,0,0,1
1055,0.22,6.2,600,41.0,190.0,0.99858,8.18,0.51,9.2,7,13.6,1.92,3,0,0,0,1,0,1
1056,0.31,7.4,530,32.0,211.0,0.99587,8.31,0.59,10.4,8,14.2,1.82,3,1,0,0,0,0,1
1057,0.26,8.2,540,47.0,182.0,0.99538,8.12,0.5,9.5,7,12.8,1.23,3,1,0,0,0,0,1
1058,0.49,2.7,920,25.0,60.0,0.9971,8.31,0.61,10.1,6,15.2,1.94,3,1,0,0,0,0,0
1059,0.31,6.4,310,38.0,115.0,0.99235,8.38,0.58,12.2,9,14.0,1.92,3,0,0,0,1,0,1
1060,0.32,9.6,540,64.0,162.0,0.9962,8.4,0.41,9.4,7,14.2,1.72,3,1,0,1,0,0,1
1061,0.22,16.65,440,39.0,110.0,0.99855,8.24,0.48,9.0,8,11.4,1.69,3,1,0,0,0,0,1
1062,0.49,2.7,980,12.0,42.0,1.0004,8.16,0.61,10.3,5,23.8,1.48,3,0,0,0,1,0,0
1063,0.32,2.2,810,32.0,79.0,0.9964,8.3,0.72,11.0,6,16.8,1.25,3,0,0,0,1,0,0
1064,0.32,7.9,420,30.0,130.0,0.99456,8.4,0.39,10.5,8,13.8,1.45,3,1,0,1,0,0,1
1065,0.13,17.2,360,49.0,219.0,0.9996,7.96,0.46,9.7,7,16.0,1.67,3,1,0,0,0,0,1
1066,0.51,1.2,290,10.0,102.0,0.9903,8.46,0.42,11.9,8,12.0,1.34,3,0,0,0,1,0,1
1067,0.3,14.2,560,53.0,212.5,0.999,8.14,0.46,8.9,10,15.2,1.74,3,1,0,0,0,0,1
1068,0.23,3.1,950,13.0,38.0,0.9998,8.28,0.59,9.7,5,18.2,1.06,3,1,1,1,0,0,0
1069,0.37,2.2,570,14.0,36.0,0.99614,8.23,0.49,9.3,4,20.4,1.61,3,1,0,0,0,0,0
1070,0.3,12.8,620,19.0,171.0,0.99808,8.0,0.52,9.0,9,13.6,1.48,3,1,0,1,0,0,1
1071,0.27,1.2,410,27.0,99.0,0.9927,8.19,0.33,9.8,8,14.8,1.97,3,1,0,0,0,0,1
1072,0.29,1.1,350,44.0,140.0,0.99142,8.17,0.55,10.7,9,12.8,1.74,3,1,0,1,0,0,1
1073,0.32,14.9,470,54.0,162.0,0.9968,8.28,0.5,10.2,8,12.8,1.92,3,1,0,0,0,0,1
1074,0.2,2.0,480,48.0,191.0,0.9929,8.17,0.51,9.6,7,12.6,1.62,3,0,0,0,1,0,1
1075,0.2,2.4,750,15.0,50.0,0.99467,8.58,0.67,12.5,6,12.0,1.59,3,0,1,0,1,0,0
1076,0.25,1.4,570,21.0,125.0,0.99091,8.23,0.44,11.1,9,12.8,1.45,3,1,0,1,0,0,1
1077,0.04,2.2,660,12.0,20.0,0.99636,8.53,0.56,9.9,5,13.2,1.8,3,1,0,0,0,1,0
1078,0.39,7.8,390,49.0,208.0,0.9976,8.31,0.51,9.5,8,16.4,1.81,3,1,0,0,0,0,1
1079,0.34,7.4,200,38.0,133.0,0.99212,8.18,0.44,12.0,9,13.6,1.3,3,0,0,0,1,0,1
1080,0.36,11.6,420,45.0,124.0,0.997,7.92,0.59,9.5,9,14.2,1.96,3,1,0,0,0,0,1
1081,0.34,6.7,290,21.0,162.0,0.99497,8.08,0.5,10.6,8,18.0,1.7,3,1,0,0,0,0,1
1082,0.57,1.0,620,21.0,122.0,0.99238,8.0,0.4,9.5,7,12.8,1.8,3,1,0,0,0,0,1
1083,0.31,2.8,320,11.0,61.0,0.99189,8.06,0.44,11.5,8,17.0,1.64,3,1,0,0,0,0,1
1084,0.53,1.2,470,25.0,109.0,0.9921,8.23,0.28,12.5,8,18.8,2.0,3,1,0,0,0,0,1
1085,0.28,2.8,680,6.0,16.0,0.99682,8.24,0.53,10.3,5,14.2,1.14,3,1,1,0,0,0,0
1086,0.26,2.7,420,28.0,83.0,0.99114,8.38,0.51,12.0,10,13.6,1.71,3,1,1,0,0,0,1
1087,0.26,5.7,440,56.0,158.0,0.9951,8.52,0.37,10.5,8,12.4,1.59,3,1,0,1,0,0,1
1088,0.24,14.0,480,24.0,113.0,0.9982,8.44,0.53,9.8,8,12.8,1.65,3,1,1,0,0,0,1
1089,0.29,1.8,470,47.0,187.0,0.9933,8.13,0.5,10.2,8,16.4,1.6,3,1,0,0,0,0,1
1090,0.41,14.1,530,37.0,194.0,0.99886,8.2,0.63,9.4,8,14.8,1.57,3,1,1,0,0,0,1
1091,0.34,12.4,510,6.0,37.0,0.9944,8.13,0.39,11.5,8,14.4,1.73,3,0,0,0,1,0,1
1092,0.19,4.5,380,36.0,119.0,0.99151,8.07,0.42,11.2,8,12.8,1.25,3,0,0,0,1,0,1
1093,0.4,2.2,490,38.0,67.0,0.996,8.33,0.93,11.3,5,15.8,1.6,3,1,0,1,0,0,0
1094,0.1,3.5,440,17.0,63.0,0.9937,8.01,0.39,9.2,7,14.0,1.69,3,0,0,0,1,0,1
1095,0.03,2.3,540,7.0,16.0,0.99508,8.45,0.63,11.5,6,13.8,1.19,3,0,1,1,0,0,0
1096,0.49,2.2,320,31.0,113.0,0.9903,8.37,0.42,12.9,11,14.2,1.64,3,1,0,0,0,0,1
1097,0.45,2.3,710,16.0,40.0,0.9991,8.39,0.62,9.4,5,19.8,1.26,3,0,1,0,1,0,0
1098,0.66,2.2,740,10.0,47.0,1.0008,8.25,0.57,9.0,3,23.2,1.77,3,0,1,0,1,0,0
1099,0.31,5.4,520,47.0,150.0,0.9953,8.24,0.38,9.8,7,16.8,1.65,3,1,0,1,0,0,1
1100,0.68,2.9,850,17.0,43.0,1.0014,8.06,0.8,10.0,6,27.4,1.42,3,1,1,0,0,0,0
1101,0.29,2.2,370,37.0,102.0,0.992,8.27,0.64,11.0,9,14.4,1.8,3,1,0,0,0,0,1
1102,0.33,2.5,990,20.0,38.0,0.99818,8.24,0.71,10.8,5,21.6,1.27,3,1,1,0,0,0,0
1103,0.27,1.5,560,45.0,135.0,0.9924,8.2,0.43,10.2,8,12.2,1.5,3,1,0,1,0,0,1
1104,0.23,1.7,770,18.0,45.0,0.99625,8.29,0.65,9.3,5,15.8,1.85,3,0,0,0,1,0,0
1105,0.14,1.3,360,69.0,168.0,0.99212,8.47,0.46,10.5,7,9.4,1.75,3,0,0,0,1,0,1
1106,0.26,7.9,500,53.0,180.0,0.99514,8.14,0.5,9.6,7,12.8,1.18,3,0,0,0,1,0,1
1107,0.31,1.9,370,34.0,126.0,0.99,8.06,0.45,11.8,8,12.8,1.82,3,0,0,0,1,0,1
1108,0.1,1.7,750,6.0,25.0,0.99581,8.09,0.43,9.7,6,16.8,1.75,3,0,0,0,1,0,0
1109,0.53,4.0,1010,3.0,10.0,0.99586,8.21,0.59,12.1,7,17.8,1.6,3,1,1,0,0,0,0
1110,0.28,1.8,280,39.0,132.0,0.99182,8.34,0.46,11.4,7,13.2,1.36,3,1,0,0,0,0,1
1111,0.22,1.6,270,18.0,89.0,0.9893,8.51,0.38,12.5,9,10.2,1.26,3,0,0,0,1,0,1
1112,0.25,10.8,420,33.0,124.0,0.99646,8.22,0.41,9.2,8,11.6,1.25,3,1,0,1,0,0,1
1113,0.3,5.7,390,24.0,98.0,0.992,8.54,0.61,12.3,9,11.4,1.19,3,1,1,0,0,0,1
1114,0.67,8.3,530,10.0,100.0,0.9959,8.19,0.5,10.9,7,14.6,1.14,3,0,0,0,1,0,1
1115,0.32,6.2,530,10.0,94.0,0.99537,8.35,0.47,10.1,7,12.2,1.93,3,1,1,0,0,0,1
1116,0.3,1.6,340,15.0,78.0,0.992,8.38,0.44,11.2,8,13.2,1.84,3,1,0,1,0,0,1
1117,0.02,2.4,690,19.0,40.0,0.99387,8.38,0.66,12.6,6,13.2,1.43,3,0,1,0,1,0,0
1118,0.23,2.6,590,5.0,15.0,0.997,8.37,0.56,11.3,5,16.2,1.21,3,0,1,1,0,0,0
1119,0.24,1.1,510,25.0,105.0,0.9925,8.32,0.47,9.1,7,10.6,1.21,3,1,0,1,0,0,1
1120,0.58,15.0,440,42.0,115.0,0.9978,8.15,0.51,9.0,7,12.2,1.66,3,0,0,0,1,0,1
1121,0.28,5.0,420,36.0,168.0,0.99505,8.22,0.69,9.5,8,12.6,1.32,3,0,0,0,1,0,1
1122,0.34,1.0,360,52.0,184.0,0.99097,8.44,0.44,11.45,8,12.0,1.65,3,1,0,0,0,0,1
1123,0.24,1.7,780,10.0,21.0,0.99692,8.29,0.67,10.0,5,18.0,1.98,3,0,1,1,0,0,0
1124,0.19,4.5,960,16.0,115.0,0.9937,8.02,0.44,9.6,7,13.0,1.49,3,1,0,0,0,0,1
1125,0.22,11.9,500,65.0,179.0,0.99659,8.06,0.58,9.3,8,12.6,1.3,3,1,0,0,0,0,1
1126,0.29,10.4,460,59.0,143.0,0.99518,8.2,0.4,10.8,8,13.6,1.09,3,1,0,1,0,0,1
1127,0.49,2.0,590,10.0,112.0,0.9958,8.15,0.46,10.1,7,18.2,1.54,3,1,0,0,0,0,1
1128,0.58,14.2,380,51.0,164.0,0.9975,8.12,0.48,9.6,8,13.6,1.11,3,1,0,1,0,0,1
1129,0.28,9.1,470,29.0,95.0,0.99532,8.16,0.47,9.8,9,14.8,1.06,3,1,0,0,0,0,1
1130,0.3,11.8,940,23.0,97.0,0.997,8.09,0.44,9.6,7,13.6,1.5,3,1,1,0,0,0,1
1131,0.09,2.2,840,11.0,108.0,0.9964,8.15,0.66,9.8,5,16.8,1.77,3,1,1,1,0,0,0
1132,0.32,1.8,670,4.0,8.0,0.9928,8.36,0.55,12.8,7,13.6,1.31,3,0,0,0,1,0,0
1133,0.25,1.4,390,21.0,131.0,0.99114,8.2,0.45,11.2,9,13.2,1.49,3,1,0,1,0,0,1
1134,0.35,4.6,390,43.0,147.0,0.99216,8.18,0.4,11.0,9,12.8,1.2,3,1,0,0,0,0,1
1135,0.0,13.0,330,32.0,75.0,0.99551,8.15,0.5,10.7,8,13.4,1.35,3,1,1,1,0,0,1
1136,0.41,0.9,370,22.0,95.0,0.9914,8.25,0.43,10.9,8,14.0,1.45,3,1,0,1,0,0,1
1137,0.2,16.0,440,41.0,113.0,0.99862,8.22,0.46,8.9,8,11.4,1.21,3,1,0,0,0,0,1
1138,0.27,1.55,260,15.0,70.0,0.98994,8.37,0.4,11.9,10,11.6,1.87,3,0,0,0,1,0,1
1139,0.3,8.1,2120,60.0,150.0,0.9958,8.1,0.4,9.3,7,12.6,1.21,3,1,0,0,0,0,1
1140,0.14,2.1,640,15.0,29.0,0.99323,8.35,0.61,12.1,6,14.4,1.91,3,0,1,0,1,0,0
1141,0.21,2.1,700,9.0,23.0,0.99546,8.38,0.6,10.3,5,13.6,1.45,3,1,1,1,0,0,0
1142,0.29,6.1,460,29.0,134.0,0.99462,8.48,0.57,10.7,8,12.0,1.22,3,0,0,0,1,0,1
1143,0.21,2.6,250,12.0,120.0,0.9894,8.39,0.79,14.0,9,11.6,1.42,3,1,0,0,0,0,1
1144,0.29,10.5,400,21.0,145.0,0.9966,8.04,0.35,9.4,7,15.2,1.06,3,0,0,0,1,0,1
1145,0.49,2.2,960,21.0,59.0,0.99714,8.31,0.67,10.1,6,15.8,1.72,3,1,0,0,0,0,0
1146,0.29,6.8,380,54.0,127.0,0.9932,8.33,0.46,11.6,9,13.4,1.43,3,1,0,0,0,0,1
1147,0.18,6.7,460,33.0,160.0,0.9963,8.2,0.56,9.8,8,15.6,1.22,3,1,0,0,0,0,1
1148,0.1,3.0,910,12.0,48.0,0.99888,8.31,0.54,9.5,6,18.4,1.39,3,1,1,1,0,0,0
1149,0.51,1.8,3410,17.0,56.0,0.9969,8.04,1.08,9.2,6,15.8,1.89,3,0,0,0,1,0,0
1150,0.28,1.1,380,30.0,110.0,0.9917,8.12,0.42,10.5,8,12.8,1.1,3,0,0,0,1,0,1
1151,0.24,7.2,470,41.0,151.0,0.99604,8.11,0.6,9.2,7,12.8,1.55,3,0,0,0,1,0,1
1152,0.23,16.2,550,36.0,176.0,0.9986,8.26,0.54,9.1,7,12.8,1.69,3,0,0,0,1,0,1
1153,0.56,2.0,350,20.0,95.0,0.9918,8.23,0.53,11.0,8,14.0,1.55,3,1,0,0,0,0,1
1154,0.3,13.7,560,33.0,168.0,0.99825,7.9,0.44,8.7,9,14.8,1.05,3,1,0,1,0,0,1
1155,0.24,6.4,400,27.0,124.0,0.9903,8.22,0.49,12.6,9,12.8,1.05,3,1,0,0,0,0,1
1156,0.35,2.5,480,67.0,161.0,0.99146,8.05,0.56,11.1,8,14.0,1.07,3,0,0,0,1,0,1
1157,0.36,1.3,530,28.0,186.0,0.99211,8.31,0.45,10.8,7,12.8,1.98,3,1,0,0,0,0,1
1158,0.28,1.8,410,44.0,178.0,0.9954,8.45,0.43,9.2,8,15.8,1.61,3,1,0,1,0,0,1
1159,0.31,1.3,340,59.0,145.0,0.98944,8.16,0.54,12.4,8,13.0,1.4,3,1,0,0,0,0,1
1160,0.22,17.8,340,16.0,116.0,0.9989,8.07,0.53,9.2,7,13.6,1.71,3,1,0,0,0,0,1
1161,0.33,17.85,490,41.5,195.0,1.0,8.06,0.44,9.1,9,14.6,1.33,3,1,0,0,0,0,1
1162,0.28,1.7,430,24.0,98.0,0.98918,8.14,0.44,12.5,8,12.2,1.97,3,1,0,0,0,0,1
1163,0.27,11.6,280,22.0,97.0,0.99314,7.96,0.38,11.7,8,13.6,1.26,3,0,0,0,1,0,1
1164,0.09,5.5,1170,9.0,17.0,0.99655,8.35,0.49,10.8,6,13.2,1.21,3,0,1,1,0,0,0
1165,0.37,8.3,440,45.0,227.0,0.9966,8.12,0.47,9.0,7,14.6,1.75,3,1,0,0,0,0,1
1166,0.25,3.3,410,26.0,124.0,0.99428,8.18,0.5,9.3,8,13.8,1.95,3,0,0,0,1,0,1
1167,0.34,11.9,430,37.0,213.0,0.9962,8.09,0.5,9.6,8,14.4,1.31,3,1,0,0,0,0,1
1168,0.22,3.75,390,37.0,116.0,0.9927,8.23,0.5,10.7,8,12.6,1.16,3,1,0,0,0,0,1
1169,0.32,9.6,540,64.0,162.0,0.9962,8.4,0.41,9.4,7,14.2,1.47,3,1,0,1,0,0,1
1170,0.34,1.4,230,56.0,115.0,0.98958,8.18,0.7,11.7,8,12.8,1.91,3,1,0,0,0,0,1
1171,0.29,3.9,340,62.0,140.0,0.99237,8.1,0.59,11.1,8,12.8,1.65,3,1,0,0,0,0,1
1172,0.36,5.9,580,31.0,132.0,0.995,8.25,0.52,10.9,8,15.8,1.02,3,1,0,1,0,0,1
1173,0.36,15.7,450,68.0,183.0,0.99922,8.25,0.76,9.4,7,14.4,1.19,3,1,0,0,0,0,1
1174,0.32,6.3,480,47.0,159.0,0.99282,8.21,0.6,11.0,8,12.4,1.67,3,1,0,0,0,0,1
1175,0.49,8.65,330,42.0,186.0,0.9931,8.14,0.38,12.4,10,15.4,1.25,3,0,0,0,1,0,1
1176,0.5,10.0,360,78.0,167.0,0.9964,8.15,0.55,10.2,8,13.8,1.94,3,1,0,0,0,0,1
1177,0.37,2.0,820,24.0,58.0,0.9964,8.34,0.59,9.4,6,15.6,1.71,3,0,0,0,1,0,0
1178,0.52,10.1,500,29.0,140.0,0.99628,8.07,0.4,9.4,7,13.2,1.14,3,0,0,0,1,0,1
1179,0.24,2.3,470,60.0,189.0,0.995,8.65,0.72,10.1,8,11.4,1.06,3,1,0,0,0,0,1
1180,0.34,3.0,540,22.0,141.0,0.99338,8.26,0.47,10.4,8,13.2,1.01,3,1,0,0,0,0,1
1181,0.32,1.1,220,48.0,116.0,0.99218,8.04,0.67,10.0,8,14.4,1.17,3,1,0,1,0,0,1
1182,0.49,2.4,780,26.0,121.0,0.9978,8.23,0.58,9.2,5,18.0,1.0,3,1,1,0,0,0,0
1183,0.32,1.0,530,31.0,218.5,0.9924,8.29,0.72,9.8,8,12.0,1.72,3,0,0,0,1,0,1
1184,0.28,1.9,1100,20.0,136.0,0.9972,7.93,1.95,9.9,6,17.2,1.15,3,1,1,0,0,0,0
1185,0.05,0.8,380,11.0,30.0,0.9924,8.36,0.35,9.2,7,11.2,1.75,3,1,0,0,0,0,1
1186,0.32,2.8,840,21.0,122.0,0.9984,8.32,0.62,9.4,5,18.0,1.22,3,1,1,0,0,0,0
1187,0.22,3.4,1050,11.0,86.0,1.001,8.43,0.64,11.3,4,20.2,1.2,3,0,0,1,1,0,0
1188,0.28,9.8,390,29.0,113.0,0.99406,8.11,0.45,10.9,9,13.6,1.45,3,1,0,1,0,0,1
1189,0.44,1.2,510,39.0,122.0,0.99058,8.11,0.75,11.3,9,12.8,1.41,3,1,0,1,0,0,1
1190,0.33,2.05,630,13.0,27.0,0.99516,8.26,0.84,11.7,7,18.2,1.2,3,1,0,0,0,0,0
1191,0.13,1.2,420,60.0,172.0,0.99114,8.06,0.52,10.6,7,12.0,1.49,3,0,0,0,1,0,1
1192,0.24,2.2,870,5.0,28.0,0.9988,8.14,0.6,10.2,5,19.2,1.39,3,1,1,1,0,0,0
1193,0.34,5.1,550,34.0,125.0,0.9942,8.36,0.42,9.6,7,13.2,1.34,3,1,0,1,0,0,1
1194,0.34,8.5,330,31.0,253.0,0.9953,8.22,0.56,10.5,8,14.0,1.82,3,1,0,0,0,0,1
1195,0.0,2.6,810,6.0,14.0,0.9975,8.3,0.52,9.3,5,15.4,1.29,3,1,0,0,0,1,0
1196,0.28,7.2,600,41.0,132.0,0.9935,8.08,0.59,11.3,8,14.4,1.18,3,1,0,0,0,0,1
1197,0.48,1.7,1000,14.0,96.0,0.9961,8.19,0.62,9.5,5,15.6,1.56,3,1,1,1,0,0,0
1198,0.37,8.9,530,36.0,148.0,0.996,8.16,0.5,9.3,7,13.8,1.84,3,1,1,0,0,0,1
1199,0.2,7.7,460,51.0,174.0,0.99582,8.16,0.52,9.5,7,14.4,1.35,3,1,0,0,0,0,1
1200,0.13,2.3,760,29.0,40.0,0.99574,8.42,0.75,11.0,6,12.6,1.18,3,0,1,0,1,0,0
1201,0.3,1.6,400,19.0,86.0,0.99089,8.32,0.65,11.5,8,12.8,1.28,3,1,0,0,0,0,1
1202,0.26,7.7,540,56.0,209.0,0.9961,8.17,0.45,8.8,7,13.2,2.0,3,0,0,0,1,0,1
1203,0.56,11.9,430,64.0,226.0,0.997,8.02,0.63,9.3,7,13.6,1.52,3,1,0,0,0,0,1
1204,0.3,1.4,370,45.0,143.0,0.9932,8.13,0.33,9.9,8,14.2,1.99,3,1,0,0,0,0,1
1205,0.34,1.4,560,14.0,171.0,0.9946,8.13,0.47,9.7,7,17.8,1.37,3,0,0,0,1,0,1
1206,0.01,2.1,560,5.0,13.0,0.99472,8.52,0.56,11.4,5,12.2,1.14,3,0,1,0,1,0,0
1207,0.49,15.55,580,50.0,134.0,0.9998,8.42,0.36,9.1,9,14.6,1.85,3,1,0,1,0,0,1
1208,0.27,3.2,470,16.0,93.0,0.99235,8.44,0.53,10.1,9,10.4,1.54,3,1,0,0,0,0,1
1209,0.55,8.1,400,67.0,216.0,0.99596,8.24,0.5,9.2,7,12.6,1.55,3,1,0,0,0,0,1
1211,0.46,4.7,290,21.0,94.0,0.991,8.29,0.62,12.3,8,12.2,1.37,3,0,0,0,1,0,1
1212,0.24,6.6,1230,35.0,116.0,0.9953,8.07,0.48,9.4,7,13.6,1.41,3,0,0,0,1,0,1
1213,0.1,2.6,810,45.0,87.0,0.9983,8.48,0.53,10.0,5,16.6,1.61,3,0,1,1,0,0,0
1214,0.53,12.7,470,60.5,164.5,0.9984,8.06,0.45,9.1,8,14.6,1.7,3,1,0,0,0,0,1
1215,0.38,12.1,3010,24.0,220.0,0.9993,7.94,0.48,9.2,7,16.0,1.63,3,1,1,1,0,0,1
1216,0.32,2.3,780,35.0,152.0,0.998,8.25,0.48,9.4,5,19.6,1.97,3,0,0,1,1,0,0
1217,0.36,1.6,520,23.0,72.0,0.98974,8.1,0.5,11.5,9,12.0,1.66,3,1,0,1,0,0,1
